x				Avg	std dev	c	t
153	1.076278142	0.045556203	0.444237322				
154	0.879089612	0	0.444237322				
155	0.975809937	0	0.444237322				
156	1.024295262	0	0.444237322				
157	1.073722064	0	0.444237322				
158	1.08533148	0	0.444237322				
159	1.07180495	0	0.444237322				
160	1.021430384	0	0.444237322				
161	1.019367652	0	0.444237322				
162	0.970138706	0	0.444237322				
163	0.884387527	0	0.444237322				
164	0.96824475	0	0.444237322				
165	1.039604996	0	0.444237322				
166	1.062703057	0	0.444237322				
167	1.061897237	0	0.444237322				
168	1.050542525	0	0.444237322				
169	1.064176967	0	0.444237322				
170	1.102700935	0.017131537	0.444237322				
171	1.104501162	0.036063302	0.444237322				
172	1.080773764	0.031267668	0.444237322				
173	1.080441257	0.026139527	0.444237322				
174	1.068117861	0.008687991	0.444237322				
